tweet_id,in_reply_to_status_id,in_reply_to_user_id,retweeted_status_id,retweeted_status_user_id,timestamp,source,text,expanded_urls,,
3.12508E+17,,,,,2013-03-15 10:17:16 +0000,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","さっき書いた記事、一身上の都合でURLを変更しました。 / ""Mac のスクリーンショットを定期的に自動撮影する"" http://t.co/1kqsapBCR0",http://d.hatena.ne.jp/shu223/20130314/1363342442,,
3.12505E+17,3.12503E+17,57628054,,,2013-03-15 10:06:50 +0000,web,@ZuQ9Nn おお、そういうのが出てるんですね！Particle Designerから書き出したplist見てるとパラメータ構成はCAEmitterCellと似てるので、Particle Designerのplistをそのまま読み込めるカテゴリも作れそうです。,,,
3.12499E+17,,,3.12493E+17,4272381,2013-03-15 09:43:03 +0000,web,RT @saiten: “UIKit上でパーティクルエフェクトを表示する - Over&amp;Out その後” http://t.co/xb1zsBPIPJ,http://htn.to/eaiGZokCP,,
3.12499E+17,,,3.12497E+17,5740902,2013-03-15 09:42:44 +0000,web,RT @dealforest: CoreImageTransition のコミットログをたどれば OpenGL の対応方法も分かるしパフォーマンスの違いとかを簡単に試せるのがかなりいい http://t.co/zhQ2EeTNBL,http://bit.ly/ZthGCg,,
3.12493E+17,3.12476E+17,57628054,,,2013-03-15 09:17:49 +0000,web,@ZuQ9Nn まさに、その２つ（とその派生）しか見当たらなかったですねー iOSの実装情報は意外と出揃ってないですよね。,,,
3.1246E+17,,,,,2013-03-15 07:09:02 +0000,web,Qiitaに書いた方はわりといいペースでストックされてる。既出情報を整理しなおしたような記事とか導入記事はQiitaが向いてるのかも。 http://t.co/iQ7ZfAZAuw,http://qiita.com/users/shu223,,
3.12458E+17,,,,,2013-03-15 06:59:54 +0000,web,『UIKitでパーティクルエフェクト：実践編』を書くか。本の原稿にもできるし。なるべくUIKitでのユースケースにマッチするサンプルを考えよう。,,,
3.12457E+17,3.12456E+17,16807715,,,2013-03-15 06:54:50 +0000,web,@k_katsumi ほんとそうなんですよね。CAEmitterLayerに限らず、iOSの新しめの機能って、導入記事はたくさんあるけどちょっと掘り下げて使おうとすると全然参考記事がなかったりする。,,,
3.12456E+17,,,,,2013-03-15 06:51:43 +0000,web,Particle Designerでcocos2d用に書き出したplistを読み込むCAEmitterCellのカテゴリつくったら便利そう。シェアされてるパーティクルエフェクトが使えるようになるので。,,,
3.12455E+17,3.12451E+17,16807715,,,2013-03-15 06:48:53 +0000,web,@k_katsumi それはありますねー 自分でサンプルつくる過程で「これをいじるとこうなるのか」みたいなのはあったので、実践的なパラメータ例は書けそうです。,,,
